"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"QUEEN ANNE PLACE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",814,"835","YES","YES",100,"NO","22","26",219,102.24,0,"No",3,0,"A","34.05126","-118.330841"
"QUINCY JONES ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",781,"730","YES","YES",100,"NO","23","27",220,101.76,0,"No",3,0,"A","34.01261","-118.257952"
"R. D. WHITE ELEMENTARY","LOS ANGELES","GLENDALE UNIFIED",869,"877","YES","YES",62,"NO","24","33",589,264.48,0,"No",1,4,"Out","34.154024","-118.245812"
"R. F. HAZARD ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",830,"839","YES","YES",88,"NO","27","28",454,205.92,0,"No",2,4,"Out","33.75152","-117.925611"
"R. L. STEVENSON ELEMENTARY","LOS ANGELES","BURBANK UNIFIED",905,"891","NO","NO",21,"NO","30","26",361,167.52,0,"No",0,3,"P","34.158864","-118.338527"
"RALPH A. GATES ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",822,"839","YES","YES",63,"NO","28","31",652,303.84,0,"No",1,4,"Out","33.61507","-117.696611"
"RALPH BUNCHE ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",807,"806","YES","YES",63,"NO","26","25",308,135.84,0,"No",1,2,"K","33.884452","-118.261255"
"RALPH E. HAWES ELEMENTARY","ORANGE","HUNTINGTON BEACH CITY ELEMENTA",941,"931","NO","NO",7,"NO","29","28",491,232.32,0,"No",0,4,"Out","33.667799","-117.959291"
"RALPH EMERSON ELEMENTARY","LOS ANGELES","BURBANK UNIFIED",887,"874","YES","YES",37,"NO","27","29",390,183.84,0,"No",0,4,"Out","34.190365","-118.307037"
"RAMONA","LOS ANGELES","HAWTHORNE",818,"816","YES","YES",78,"NO","27","26",518,242.88,0,"No",2,4,"Out","33.908463","-118.357832"
"RAMONA ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",873,"864","YES","YES",80,"NO","23","29",683,313.92,0,"No",2,4,"Out","34.076136","-118.128355"
"RAMONA ELEMENTARY","LOS ANGELES","BELLFLOWER UNIFIED",758,"755","YES","YES",78,"NO","30","31",495,222.24,0,"No",2,4,"Out","33.883543","-118.134735"
"RAMONA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",776,"786","YES","YES",100,"NO","21","24",497,227.04,0,"No",3,4,"Out","34.09156","-118.299921"
"RANCH HILLS ELEMENTARY","LOS ANGELES","POMONA UNIFIED",885,"920","YES","NO",35,"NO","30","29",379,176.64,0,"No",0,4,"Out","34.03584","-117.784872"
"RANCHITO AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",808,"809","YES","YES",82,"NO","23","26",339,152.16,1,"Yes",2,3,"H","34.21478","-118.433801"
"RANCHO CANADA ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",884,"889","YES","YES",24,"NO","28","31",513,238.08,0,"No",0,4,"Out","33.646366","-117.691745"
"RANCHO SANTA GERTRUDES ELEMENTARY","LOS ANGELES","LOS NIETOS",792,"799","YES","YES",94,"NO","30","31",326,152.64,0,"No",3,3,"D","33.9547","-118.080843"
"RANCHO VISTA ELEMENTARY","LOS ANGELES","PALOS VERDES PENINSULA UNIFIED",943,"946","NO","NO",3,"NO","25","25",303,143.04,0,"No",0,2,"O","33.787059","-118.357053"
"RANCHO VISTA ELEMENTARY","LOS ANGELES","WESTSIDE UNION ELEMENTARY",833,"C","YES","NO",41,"NO","30","27",459,200.64,0,"No",1,4,"Out","34.61886","-118.210487"
"RAYMOND AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",702,"717","YES","YES",76,"NO","20","25",329,144,0,"No",1,2,"K","33.97167","-118.299181"
"RAYMOND ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",824,"858","YES","YES",69,"NO","24","32",327,151.2,1,"Yes",1,3,"L","33.87554","-117.907971"
"RAYMOND TEMPLE ELEMENTARY","ORANGE","CENTRALIA ELEMENTARY",841,"846","YES","YES",61,"NO","25","28",373,172.32,0,"No",1,4,"Out","33.84908","-118.0195"
"RED HILL ELEMENTARY","ORANGE","TUSTIN UNIFIED",912,"917","NO","NO",14,"NO","24","29",349,164.16,0,"No",0,3,"P","33.75716","-117.793341"
"REPETTO ELEMENTARY","LOS ANGELES","ALHAMBRA UNIFIED",873,"881","YES","YES",60,"NO","23","25",666,307.2,0,"No",1,4,"Out","34.053584","-118.128301"
"RESEDA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",819,"829","YES","YES",100,"NO","21","27",263,123.84,0,"No",3,1,"B","34.20384","-118.538551"
"REVERE (PAUL) ELEMENTARY","ORANGE","ANAHEIM CITY",770,"779","YES","YES",96,"NO","27","29",633,271.68,0,"No",3,4,"Out","33.813105","-117.908687"
"RICARDO LIZARRAGA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",783,"775","YES","YES",100,"NO","23","24",466,209.76,1,"Yes",3,4,"Out","34.010376","-118.267856"
"RICE (ELDRIDGE) ELEMENTARY","LOS ANGELES","GARVEY ELEMENTARY",793,"811","YES","YES",90,"NO","23","29",439,196.8,1,"Yes",2,4,"Out","34.05229","-118.086651"
"RICHARD HENRY DANA ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",771,"785","YES","YES",86,"NO","29","33",244,111.84,0,"No",2,1,"F","33.468413","-117.707585"
"RICHARD HENRY DANA EXCEPTIONAL NEEDS","ORANGE","CAPISTRANO UNIFIED",667,"669","NO","NO",55,"NO","8","9",20,9.6,0,"No",1,0,"I","33.468413","-117.707585"
"RICHARD HENRY LEE ELEMENTARY","ORANGE","LOS ALAMITOS UNIFIED",944,"953","YES","NO",20,"NO","24","36",422,199.2,0,"No",0,4,"Out","33.79612","-118.082751"
"RICHLAND AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",786,"785","YES","NO",61,"NO","18","22",128,60.96,1,"Yes",1,0,"I","34.02772","-118.439031"
"RICHMAN ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",833,"829","YES","YES",89,"NO","26","28",509,231.36,0,"No",2,4,"Out","33.86398","-117.931411"
"RICHMOND STREET ELEMENTARY","LOS ANGELES","EL SEGUNDO UNIFIED",910,"908","NO","NO",13,"NO","25","33",373,174.24,0,"No",0,4,"Out","33.924053","-118.417539"
"RILEY ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",825,"826","YES","YES",65,"NO","28","28",333,149.76,0,"No",1,2,"K","33.844034","-118.152951"
"RIO HONDO ELEMENTARY","LOS ANGELES","DOWNEY UNIFIED",792,"777","YES","YES",73,"NO","25","28",652,292.8,0,"No",1,4,"Out","33.95172","-118.138691"
"RIO HONDO ELEMENTARY","LOS ANGELES","EL MONTE CITY",806,"808","YES","YES",72,"NO","28","28",675,306.24,0,"No",1,4,"Out","34.104016","-118.021116"
"RIO SAN GABRIEL ELEMENTARY","LOS ANGELES","DOWNEY UNIFIED",823,"815","YES","YES",56,"NO","27","27",581,264.48,0,"No",1,4,"Out","33.93769","-118.112211"
"RIO VISTA ELEMENTARY","LOS ANGELES","EL MONTE CITY",852,"868","YES","YES",82,"NO","24","22",307,144.48,1,"Yes",2,2,"G","34.083698","-118.040323"
"RIO VISTA ELEMENTARY","LOS ANGELES","EL RANCHO UNIFIED",828,"790","YES","YES",71,"NO","24","28",307,142.08,1,"Yes",1,2,"K","33.98983","-118.0953"
"RIO VISTA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",898,"904","YES","NO",51,"NO","21","22",234,107.52,1,"Yes",1,1,"J","34.14707","-118.368061"
"RIO VISTA ELEMENTARY","LOS ANGELES","SAUGUS UNION",814,"857","YES","YES",49,"NO","29","30",576,264,1,"Yes",1,4,"Out","34.425763","-118.492733"
"RIO VISTA ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",796,"786","YES","YES",90,"NO","23","32",605,273.12,1,"Yes",2,4,"Out","33.84365","-117.869101"
"RISE KOHYANG MIDDLE","LOS ANGELES","LOS ANGELES UNIFIED",866,"B","NO","NO",76,"NO","N/A","21",83,37.44,0,"No",1,0,"I","34.062951","-118.285721"
"RITTER ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",753,"762","YES","YES",100,"NO","19","22",229,104.16,1,"Yes",3,1,"B","33.93384","-118.227071"
"RIVERA ELEMENTARY","LOS ANGELES","EL RANCHO UNIFIED",826,"848","YES","YES",72,"NO","27","34",477,219.84,0,"No",1,4,"Out","33.97675","-118.0949"
"RIVERDALE ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",826,"782","YES","YES",74,"NO","26","28",359,160.32,0,"No",1,3,"L","33.77058","-117.896341"
"RIVERSIDE DRIVE CHARTER ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",866,"865","YES","YES",32,"NO","22","28",370,168,0,"No",0,3,"P","34.15854","-118.417271"
"RIVIERA ELEMENTARY","LOS ANGELES","TORRANCE UNIFIED",907,"918","NO","NO",11,"NO","28","26",468,220.8,0,"No",0,4,"Out","33.808141","-118.374045"
"ROBERT C. FISLER ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",976,"984","NO","YES",8,"NO","31","35",792,364.8,0,"No",0,4,"Out","33.88511","-117.961501"
"ROBERT F. KENNEDY ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",718,"742","YES","YES",100,"NO","23","26",319,146.88,0,"No",3,2,"C","34.0538","-118.177991"
"ROBERT HEIDEMAN ELEMENTARY","ORANGE","TUSTIN UNIFIED",780,"767","YES","YES",100,"NO","23","33",337,154.08,0,"No",3,3,"D","33.73675","-117.840971"
"ROBERT HILL LANE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",837,"813","YES","NO",100,"NO","20","27",257,119.52,0,"No",3,1,"B","34.04014","-118.152173"
"ROBERT M. PYLES ELEMENTARY","ORANGE","MAGNOLIA ELEMENTARY",781,"761","YES","YES",99,"NO","25","27",507,235.68,0,"No",3,4,"Out","33.811192","-117.985613"
"ROBINSON ACADEMY","LOS ANGELES","LONG BEACH UNIFIED",792,"795","YES","YES",94,"NO","30","34",760,343.68,0,"No",3,4,"Out","33.807584","-118.191606"
"ROBINSON ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",908,"918","NO","NO",9,"NO","25","31",522,244.8,0,"No",0,4,"Out","33.650971","-117.572681"
"ROCKDALE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",834,"849","YES","NO",72,"NO","19","25",194,90.24,0,"No",1,0,"I","34.13329","-118.194691"
"ROLLING HILLS ELEMENTARY","ORANGE","FULLERTON ELEMENTARY",845,"847","YES","NO",27,"NO","29","26",525,239.52,0,"No",0,4,"Out","33.90203","-117.901421"
"RONALD E. MCNAIR ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",807,"821","YES","YES",72,"NO","29","27",350,154.08,0,"No",1,3,"L","33.915991","-118.246991"
"ROOSEVELT","LOS ANGELES","PASADENA UNIFIED",854,"831","YES","YES",94,"NO","21","19",151,70.08,0,"No",3,0,"A","34.15082","-118.157595"
"ROOSEVELT (THEODORE) ELEMENTARY","ORANGE","ANAHEIM CITY",775,"787","YES","YES",83,"NO","26","27",453,207.84,0,"No",2,4,"Out","33.82648","-117.892231"
"ROOSEVELT ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",703,"710","YES","YES",74,"NO","29","32",542,240,0,"No",1,4,"Out","33.900643","-118.20342"
"ROOSEVELT ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",828,"813","YES","YES",77,"NO","28","34",650,292.32,0,"No",2,4,"Out","33.793903","-118.174223"
"ROOSEVELT ELEMENTARY","LOS ANGELES","LYNWOOD UNIFIED",760,"730","YES","YES",89,"NO","25","27",416,184.32,0,"No",2,4,"Out","33.93445","-118.1999"
"ROOSEVELT ELEMENTARY","LOS ANGELES","POMONA UNIFIED",750,"740","YES","YES",99,"NO","27","29",465,204,1,"Yes",3,4,"Out","34.065027","-117.761904"
"ROOSEVELT ELEMENTARY","LOS ANGELES","SAN GABRIEL UNIFIED",752,"731","YES","YES",95,"NO","29","30",259,118.56,0,"No",3,1,"B","34.09725","-118.085141"
"ROOSEVELT ELEMENTARY","LOS ANGELES","SANTA MONICA-MALIBU UNIFIED",951,"946","NO","NO",13,"NO","25","32",527,237.12,0,"No",0,4,"Out","34.02778","-118.5008"
"RORIMER ELEMENTARY","LOS ANGELES","ROWLAND UNIFIED",760,"789","YES","YES",93,"NO","17","25",398,179.04,1,"Yes",3,4,"Out","34.005905","-117.894237"
"ROSA PARKS ELEMENTARY","LOS ANGELES","LYNWOOD UNIFIED",804,"786","YES","YES",90,"NO","32","28",424,199.68,0,"No",2,4,"Out","33.91663","-118.201771"
"ROSA PARKS LEARNING CENTER","LOS ANGELES","LOS ANGELES UNIFIED",730,"732","YES","YES",100,"NO","23","28",461,202.08,0,"No",3,4,"Out","34.23159","-118.461401"
"ROSCOE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",777,"789","YES","YES",100,"NO","22","28",483,220.32,0,"No",3,4,"Out","34.21617","-118.366501"
"ROSCOMARE ROAD ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",968,"963","NO","NO",4,"NO","22","28",298,140.16,0,"No",0,2,"O","34.1203","-118.464741"
"ROSE DRIVE ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",919,"920","NO","NO",19,"NO","21","35",277,131.04,0,"No",0,2,"O","33.89431","-117.840911"
"ROSECRANS ELEMENTARY","LOS ANGELES","COMPTON UNIFIED",737,"731","YES","YES",74,"NO","29","31",364,167.04,0,"No",1,3,"L","33.904202","-118.228186"
"ROSEDELL ELEMENTARY","LOS ANGELES","SAUGUS UNION",853,"868","YES","NO",22,"NO","30","31",603,284.16,0,"No",0,4,"Out","34.447259","-118.506672"
"ROSEMONT AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",745,"776","YES","YES",100,"NO","21","25",480,219.36,0,"No",3,4,"Out","34.07178","-118.270321"
"ROSEWOOD AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",836,"833","YES","NO",44,"NO","20","24",187,84,0,"No",1,0,"I","34.08108","-118.374731"
"ROSEWOOD PARK","LOS ANGELES","MONTEBELLO UNIFIED",724,"756","YES","YES",100,"NO","28","31",830,378.72,1,"Yes",3,4,"Out","34.004174","-118.15491"
"ROSITA ELEMENTARY","ORANGE","GARDEN GROVE UNIFIED",816,"817","YES","YES",84,"NO","26","33",444,204.96,0,"No",2,4,"Out","33.75147","-117.932081"
"ROSS (BETSY) ELEMENTARY","ORANGE","ANAHEIM CITY",757,"778","YES","YES",93,"NO","28","30",741,336.96,0,"No",3,4,"Out","33.82646","-117.929621"
"ROSSMOOR ELEMENTARY","ORANGE","LOS ALAMITOS UNIFIED",966,"957","NO","NO",9,"NO","24","36",404,189.6,0,"No",0,4,"Out","33.79263","-118.077171"
"ROUND MEADOW ELEMENTARY","LOS ANGELES","LAS VIRGENES UNIFIED",902,"908","NO","NO",4,"NO","21","26",387,181.92,0,"No",0,4,"Out","34.153864","-118.666134"
"ROWAN AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",797,"799","YES","YES",91,"NO","22","27",716,329.76,1,"Yes",2,4,"Out","34.02953","-118.186711"
"ROWLAND AVENUE ELEMENTARY","LOS ANGELES","COVINA-VALLEY UNIFIED",870,"874","YES","YES",67,"NO","23","26",315,144.96,0,"No",1,2,"K","34.079266","-117.917972"
"ROWLAND ELEMENTARY","LOS ANGELES","ROWLAND UNIFIED",757,"744","YES","YES",87,"NO","22","31",347,157.92,1,"Yes",2,3,"H","33.98293","-117.905811"
"ROY O. ANDERSEN ELEMENTARY","ORANGE","NEWPORT-MESA UNIFIED",948,"962","NO","NO",3,"NO","23","30",307,146.88,0,"No",0,2,"O","33.62122","-117.856071"
"ROYAL OAKS ELEMENTARY","LOS ANGELES","DUARTE UNIFIED",861,"879","YES","YES",60,"NO","22","26",396,180.48,0,"No",1,4,"Out","34.14515","-117.952025"
"RUBY DRIVE ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",753,"766","YES","YES",95,"NO","22","33",338,156,0,"No",3,3,"D","33.87963","-117.873781"
"RUNNING SPRINGS ELEMENTARY","ORANGE","ORANGE UNIFIED",913,"908","NO","NO",11,"NO","28","29",528,245.76,0,"No",0,4,"Out","33.85867","-117.725211"
"RUSSELL ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",760,"749","YES","YES",100,"NO","22","26",660,296.64,0,"No",3,4,"Out","33.9616","-118.248021"
"S. A. MOFFETT ELEMENTARY","ORANGE","HUNTINGTON BEACH CITY ELEMENTA",922,"929","NO","NO",12,"NO","27","32",353,159.84,0,"No",0,3,"P","33.66742","-117.974621"
"SAN ANTONIO ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",792,"779","YES","YES",84,"NO","22","26",455,205.44,0,"No",2,4,"Out","33.98246","-118.212251"
"SAN ANTONIO ELEMENTARY","LOS ANGELES","POMONA UNIFIED",721,"704","YES","YES",98,"NO","30","30",327,143.52,0,"No",3,2,"C","34.066902","-117.736396"
"SAN FERNANDO ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"784","YES","YES",88,"NO","22","30",416,189.12,1,"Yes",2,4,"Out","34.2793","-118.448171"
"SAN GABRIEL AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",758,"763","YES","YES",80,"NO","22","25",460,209.28,0,"No",2,4,"Out","33.95565","-118.201691"
"SAN JOAQUIN ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",794,"795","YES","YES",67,"NO","26","27",363,168.48,0,"No",1,4,"Out","33.61731","-117.742591"
"SAN JOSE CHARTER ACADEMY","LOS ANGELES","WEST COVINA UNIFIED",928,"931","YES","NO",51,"NO","22","34",939,450.24,0,"No",1,4,"Out","34.06251","-117.959581"
"SAN JOSE ELEMENTARY","LOS ANGELES","POMONA UNIFIED",765,"762","YES","YES",91,"NO","31","29",414,185.28,0,"No",2,4,"Out","34.081677","-117.750129"
"SAN JOSE STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",832,"814","YES","YES",77,"NO","23","29",498,232.8,1,"Yes",2,4,"Out","34.26174","-118.457481"
"SAN JUAN ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",790,"814","YES","YES",66,"NO","27","32",462,220.32,0,"No",1,4,"Out","33.503773","-117.660905"
"SAN MARINO ELEMENTARY","ORANGE","CENTRALIA ELEMENTARY",881,"875","YES","YES",59,"NO","25","31",433,189.12,0,"No",1,4,"Out","33.83789","-118.025161"
"SAN MIGUEL ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",766,"777","YES","YES",79,"NO","22","25",701,323.04,1,"Yes",2,4,"Out","33.94521","-118.201731"
"SAN PASCUAL AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",751,"785","YES","YES",80,"NO","23","26",169,77.28,0,"No",2,0,"E","34.11912","-118.172311"
"SAN PEDRO STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",811,"815","YES","YES",100,"NO","22","25",442,204.48,1,"Yes",3,4,"Out","34.02897","-118.257401"
"SAN RAFAEL ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",834,"780","YES","YES",59,"NO","25","29",197,92.16,0,"No",1,0,"I","34.136801","-118.173143"
"SANCHEZ (GEORGE I.) ELEMENTARY","LOS ANGELES","GARVEY ELEMENTARY",828,"825","YES","YES",91,"NO","24","30",360,163.2,1,"Yes",2,3,"H","34.05723","-118.083671"
"SANTA CLARITA ELEMENTARY","LOS ANGELES","SAUGUS UNION",840,"862","YES","NO",29,"NO","30","31",346,160.32,0,"No",0,3,"P","34.44354","-118.5347"
"SANTA CLARITA VALLEY INTERNATIONAL","LOS ANGELES","WILLIAM S. HART UNION HIGH",767,"769","NO","NO",13,"NO","15","18",664,242.88,0,"No",0,4,"Out","34.451831","-118.624821"
"SANTA FE ELEMENTARY","LOS ANGELES","BALDWIN PARK UNIFIED",878,"886","YES","YES",64,"NO","19","30",370,174.24,0,"No",1,4,"Out","34.09786","-117.9651"
"SANTA MONICA ALTERNATIVE (K-8)","LOS ANGELES","SANTA MONICA-MALIBU UNIFIED",812,"B","NO","NO",11,"NO","25","26",183,71.04,0,"No",0,0,"M","34.00538","-118.4812"
"SANTA MONICA BOULEVARD COMMUNITY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",809,"743","YES","YES",99,"NO","18","25",614,286.56,0,"No",3,4,"Out","34.08955","-118.315391"
"SANTIAGO ELEMENTARY","ORANGE","SADDLEBACK VALLEY UNIFIED",844,"856","YES","YES",45,"NO","24","34",396,184.8,0,"No",1,4,"Out","33.63263","-117.693611"
"SANTIAGO ELEMENTARY","ORANGE","SANTA ANA UNIFIED",814,"831","YES","YES",74,"NO","29","30",884,408.96,0,"No",1,4,"Out","33.7657","-117.883621"
"SANTIAGO HILLS ELEMENTARY","ORANGE","IRVINE UNIFIED",948,"960","NO","YES",7,"NO","25","32",477,213.12,0,"No",0,4,"Out","33.718887","-117.75857"
"SARA COUGHLIN ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",719,"744","YES","YES",100,"NO","22","28",410,183.84,0,"No",3,4,"Out","34.26976","-118.403171"
"SATICOY ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",796,"805","YES","YES",100,"NO","21","26",373,171.36,1,"Yes",3,4,"Out","34.21286","-118.415571"
"SATURN STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",754,"790","YES","YES",100,"NO","22","26",309,142.08,0,"No",3,2,"C","34.04618","-118.356431"
"SAVANNAH ELEMENTARY","LOS ANGELES","ROSEMEAD ELEMENTARY",817,"817","YES","YES",83,"NO","27","29",413,193.44,1,"Yes",2,4,"Out","34.07606","-118.0642"
"SCHMITT ELEMENTARY","ORANGE","WESTMINSTER",815,"828","YES","YES",87,"YES","23","29",321,146.88,0,"No",2,2,"G","33.76589","-118.003981"
"SCHROEDER ELEMENTARY","ORANGE","WESTMINSTER",919,"929","YES","YES",35,"YES","23","31",396,186.24,0,"No",0,4,"Out","33.74174","-118.018891"
"SCOTT AVENUE ELEMENTARY","LOS ANGELES","EAST WHITTIER CITY ELEMENTARY",857,"881","YES","NO",42,"NO","23","27",437,202.08,0,"No",1,4,"Out","33.926791","-118.000941"
"SEASIDE ELEMENTARY","LOS ANGELES","TORRANCE UNIFIED",902,"915","NO","YES",11,"NO","27","34",455,214.08,0,"No",0,4,"Out","33.820633","-118.36354"
"SECOND STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",738,"747","YES","YES",100,"NO","22","24",277,122.4,1,"Yes",3,1,"B","34.04478","-118.217411"
"SELLERS ELEMENTARY","LOS ANGELES","GLENDORA UNIFIED",891,"896","NO","NO",19,"NO","24","30",426,198.72,0,"No",0,4,"Out","34.14417","-117.844581"
"SELMA AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",791,"789","YES","YES",99,"NO","18","19",168,77.76,1,"Yes",3,0,"A","34.09993","-118.334641"
"SEQUOIA ELEMENTARY","ORANGE","WESTMINSTER",851,"870","YES","YES",59,"YES","25","31",326,145.92,0,"No",1,2,"K","33.76755","-118.026971"
"SERRANIA AVENUE CHARTER FOR ENRICHED STU","LOS ANGELES","LOS ANGELES UNIFIED",879,"900","YES","NO",29,"NO","22","34",398,179.04,0,"No",0,4,"Out","34.16052","-118.587341"
"SERRANO ELEMENTARY","ORANGE","ORANGE UNIFIED",908,"905","YES","NO",20,"NO","30","33",454,212.16,0,"No",0,4,"Out","33.821696","-117.82329"
"SEVENTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",876,"879","YES","NO",53,"NO","21","30",313,147.36,0,"No",1,2,"K","33.73861","-118.310831"
"SEVENTY-FIFTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"760","YES","YES",82,"NO","19","23",735,324,0,"No",2,4,"Out","33.97129","-118.276091"
"SEVENTY-FOURTH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",847,"849","YES","NO",83,"NO","22","27",343,158.4,0,"No",2,3,"H","33.97232","-118.316641"
"SHARP AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",800,"792","YES","YES",100,"NO","23","25",510,228,1,"Yes",3,4,"Out","34.25229","-118.432521"
"SHELYN ELEMENTARY","LOS ANGELES","ROWLAND UNIFIED",848,"847","YES","YES",52,"NO","19","23",357,162.72,0,"No",1,3,"L","33.982022","-117.875975"
"SHENANDOAH STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",757,"755","YES","YES",100,"NO","21","22",317,147.84,0,"No",3,2,"C","34.0385","-118.384121"
"SHERIDAN STREET ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",732,"758","YES","YES",100,"NO","21","27",752,335.52,1,"Yes",3,4,"Out","34.04975","-118.207791"
"SHERMAN OAKS ELEMENTARY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",880,"869","YES","NO",24,"NO","23","35",579,268.8,0,"No",0,4,"Out","34.14981","-118.455531"
"SHIRLEY AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",824,"844","YES","YES",79,"NO","21","28",391,179.04,0,"No",2,4,"Out","34.19608","-118.557111"
"SHIRPSER ELEMENTARY","LOS ANGELES","EL MONTE CITY",749,"717","YES","YES",95,"NO","27","26",362,168,0,"No",3,3,"D","34.079522","-118.049417"
"SHORT AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",836,"B","NO","NO",61,"NO","20","30",260,121.44,0,"No",1,1,"J","33.99004","-118.431981"
"SIERRA ELEMENTARY","LOS ANGELES","LANCASTER ELEMENTARY",708,"728","YES","YES",81,"NO","24","27",446,178.56,0,"No",2,4,"Out","34.679288","-118.145301"
"SIERRA MADRE ELEMENTARY","LOS ANGELES","PASADENA UNIFIED",905,"914","YES","NO",25,"NO","26","31",881,413.76,0,"No",0,4,"Out","34.164791","-118.055776"
"SIERRA PARK ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",738,"719","YES","YES",100,"NO","21","22",361,162.24,0,"No",3,3,"D","34.08216","-118.168791"
"SIERRA VISTA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",842,"863","YES","NO",100,"NO","22","25",151,65.28,0,"No",3,0,"A","34.09565","-118.159041"
"SIERRA VISTA ELEMENTARY","ORANGE","LA HABRA CITY ELEMENTARY",794,"811","YES","YES",72,"NO","29","30",588,264.96,0,"No",1,4,"Out","33.93883","-117.966401"
"SIERRA VISTA ELEMENTARY","ORANGE","PLACENTIA-YORBA LINDA UNIFIED",906,"908","YES","NO",24,"NO","30","32",344,158.88,0,"No",0,3,"P","33.8954","-117.873461"
"SIGNAL HILL ELEMENTARY","LOS ANGELES","LONG BEACH UNIFIED",831,"840","YES","YES",89,"NO","29","33",455,203.52,0,"No",2,4,"Out","33.798552","-118.172189"
"SILVER SPUR ELEMENTARY","LOS ANGELES","PALOS VERDES PENINSULA UNIFIED",968,"969","NO","NO",2,"NO","25","31",361,171.36,0,"No",0,4,"Out","33.78846","-118.375437"
