"SNAME","CNAME","DNAME","API13","API12","SD_SIG","EL_SIG","MEALS","YR_RND","ACS_K3","ACS_46","ENROLL","PCST_E28","alreadyInRIF","aiRIFtxt","mealsQuant","pcst_e28Quant","letter","LAT","LONG"
"ARROYO SECO MUSEUM SCIENCE","LOS ANGELES","LOS ANGELES UNIFIED",889,"873","YES","YES",100,"NO","22","32",436,209.28,1,"Yes",3,4,"Out","34.10188","-118.204231"
"ARROYO VISTA ELEMENTARY","LOS ANGELES","SOUTH PASADENA UNIFIED",927,"930","YES","YES",16,"NO","20","35",451,206.4,0,"No",0,4,"Out","34.1138","-118.166992"
"ARROYO VISTA ELEMENTARY","ORANGE","CAPISTRANO UNIFIED",921,"939","NO","NO",14,"NO","25","36",413,192,0,"No",0,4,"Out","33.623358","-117.615303"
"ARTHUR F. COREY ELEMENTARY","ORANGE","BUENA PARK ELEMENTARY",873,"881","YES","YES",54,"NO","27","35",428,196.8,0,"No",1,4,"Out","33.85483","-118.021231"
"ARTS IN ACTION COMMUNITY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",708,"647","YES","YES",97,"NO","20","22",122,48.96,0,"No",3,0,"A","34.02706","-118.219931"
"ARTURO SANCHEZ ELEMENTARY","LOS ANGELES","NORWALK-LA MIRADA UNIFIED",770,"749","YES","YES",94,"NO","27","30",276,129.12,0,"No",3,2,"C","33.8841","-118.078719"
"ASCOT AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",747,"768","YES","YES",94,"NO","23","26",569,251.52,1,"Yes",3,4,"Out","34.003226","-118.248283"
"ASPIRE ANTONIO MARIA LUGO ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",835,"821","YES","YES",94,"NO","23","30",189,90.24,0,"No",3,0,"A","33.98381","-118.223501"
"ASPIRE FIRESTONE ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",860,"835","YES","YES",97,"NO","23","25",272,126.72,0,"No",3,1,"B","33.95158","-118.189391"
"ASPIRE GATEWAY ACADEMY","LOS ANGELES","LOS ANGELES UNIFIED",844,"838","YES","YES",98,"NO","23","31",241,112.8,0,"No",3,1,"B","33.95158","-118.189391"
"ASPIRE HUNTINGTON PARK CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",826,"854","YES","YES",92,"NO","24","29",166,77.76,0,"No",2,0,"E","33.987044","-118.221486"
"ASPIRE INSKEEP ACADEMY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",776,"773","YES","YES",96,"NO","22","30",238,108,0,"No",3,1,"B","33.98717","-118.274751"
"ASPIRE JUANITA TATE ACADEMY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",752,"748","YES","YES",96,"NO","23","31",215,98.4,0,"No",3,0,"A","33.98717","-118.274751"
"ASPIRE SLAUSON ACADEMY CHARTER","LOS ANGELES","LOS ANGELES UNIFIED",783,"757","YES","YES",92,"NO","22","30",208,91.68,0,"No",2,0,"E","33.98717","-118.274751"
"ATWATER AVENUE ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",781,"808","YES","YES",74,"NO","21","20",245,111.36,1,"Yes",1,1,"J","34.1149","-118.254351"
"AURELIA PENNEKAMP ELEMENTARY","LOS ANGELES","MANHATTAN BEACH UNIFIED",946,"942","NO","NO",2,"NO","23","29",365,174.72,0,"No",0,4,"Out","33.878675","-118.388979"
"AURORA ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",763,"818","YES","YES",100,"NO","23","21",334,156,1,"Yes",3,3,"D","33.99481","-118.257131"
"AVALON GARDENS ELEMENTARY","LOS ANGELES","LOS ANGELES UNIFIED",814,"800","YES","NO",99,"NO","22","23",154,67.68,1,"Yes",3,0,"A","33.905181","-118.26923"
"AVALON K-12","LOS ANGELES","LONG BEACH UNIFIED",782,"789","YES","YES",75,"NO","24","23",491,149.76,0,"No",1,2,"K","33.338766","-118.332526"
